"avBetweennessCentrality","0.014939309056956115"
"avInDegreeCentrality","0.52063492063492056"
"avDegreeCentrality","1.0412698412698411"
"density","0.5206349206349207"
"avShortestPathLength","1.507936507936508"
"avOutDegreeCentrality","0.52063492063492056"
"DegreeCentrality","{'MERCUTIO': 0.7999999999999999, 'CAPULET 2': 0.6857142857142857, 'SAMPSON': 0.6857142857142857, 'TYBALT': 1.3714285714285714, 'LADY CAPULET': 1.8285714285714285, 'MONTAGUE': 1.4285714285714286, 'MUSICIANS': 0.7428571428571429, 'APOTHECARY': 0.8571428571428571, 'NURSE': 1.3714285714285714, 'SERVANT 2': 1.1428571428571428, 'SERVANT 3': 0.6857142857142857, 'CAPULET': 2.057142857142857, 'ROMEO': 1.8285714285714285, 'SERVANT': 1.1428571428571428, 'PROLOGUE': 0.6857142857142857, 'PETER': 0.9142857142857143, 'LADY MONTAGUE': 0.6857142857142857, 'MUSICIAN 1': 0.7428571428571429, 'MUSICIAN 3': 0.7428571428571429, 'MUSICIAN 2': 0.7428571428571429, 'PARIS': 1.5428571428571427, 'FRIAR JOHN': 0.8571428571428571, 'FRIAR LAURENCE': 1.5428571428571427, 'GREGORY': 0.6857142857142857, 'ABRAHAM': 0.6857142857142857, 'PRINCE': 1.4285714285714286, 'JULIET': 1.7714285714285714, 'WATCH 2': 0.8571428571428571, 'WATCH 3': 0.8571428571428571, 'CITIZEN 1': 0.7428571428571429, 'WATCH 1': 0.8571428571428571, 'CITIZENS': 0.6857142857142857, 'CHORUS': 0.6857142857142857, 'BALTHASAR': 0.8571428571428571, 'PAGE': 0.8571428571428571, 'BENVOLIO': 1.4285714285714286}"
"avEigenvectorCentrality","0.13255967583889941"
"BetweennessCentrality","{'MERCUTIO': 0.00071301247771836, 'CAPULET 2': 0.0, 'SAMPSON': 0.0, 'TYBALT': 0.027426970788315328, 'LADY CAPULET': 0.07270914426376612, 'MONTAGUE': 0.02632052821128451, 'MUSICIANS': 0.0, 'APOTHECARY': 0.0, 'NURSE': 0.02216692737701141, 'SERVANT 2': 0.01134659924575891, 'SERVANT 3': 0.0, 'CAPULET': 0.11014011665272175, 'ROMEO': 0.07188748226563353, 'SERVANT': 0.01134659924575891, 'PROLOGUE': 0.0, 'PETER': 0.002790449513138589, 'LADY MONTAGUE': 0.0, 'MUSICIAN 1': 0.0, 'MUSICIAN 3': 0.0, 'MUSICIAN 2': 0.0, 'PARIS': 0.03147264966592698, 'FRIAR JOHN': 0.0, 'FRIAR LAURENCE': 0.03147264966592698, 'GREGORY': 0.0, 'ABRAHAM': 0.0, 'PRINCE': 0.02632052821128451, 'JULIET': 0.06050026071034475, 'WATCH 2': 0.0, 'WATCH 3': 0.0, 'CITIZEN 1': 0.0, 'WATCH 1': 0.0, 'CITIZENS': 0.0, 'CHORUS': 0.0, 'BALTHASAR': 0.0, 'PAGE': 0.0, 'BENVOLIO': 0.031201207755829612}"
"avDegreeCentralityStd","0.40453463896737513"
"playType","t"
"EigenvectorCentrality","{'MERCUTIO': 0.1409441438507185, 'MUSICIAN 1': 0.05765784970436421, 'MUSICIAN 3': 0.05765784970436421, 'CAPULET 2': 0.05667683250688477, 'SAMPSON': 0.05163393876752864, 'TYBALT': 0.1862911226183025, 'FRIAR JOHN': 0.0660745439962271, 'FRIAR LAURENCE': 0.2694809108765424, 'LADY CAPULET': 0.2793964056256296, 'JULIET': 0.35220746519704765, 'MONTAGUE': 0.19568883410764482, 'MUSICIANS': 0.05765784970436421, 'APOTHECARY': 0.0660745439962271, 'NURSE': 0.26185204572728105, 'ABRAHAM': 0.05163393876752864, 'SERVANT 2': 0.11433468221124896, 'PRINCE': 0.19568883410764482, 'MUSICIAN 2': 0.05765784970436421, 'CAPULET': 0.3444856736814781, 'SERVANT': 0.17484656138745341, 'WATCH 2': 0.0660745439962271, 'WATCH 3': 0.0660745439962271, 'CITIZEN 1': 0.07798035134388911, 'WATCH 1': 0.0660745439962271, 'ROMEO': 0.3740724919574825, 'CITIZENS': 0.05163393876752864, 'SERVANT 3': 0.05667683250688477, 'CHORUS': 0.05958256345394441, 'PARIS': 0.23617490240706449, 'BALTHASAR': 0.0660745439962271, 'PROLOGUE': 0.05958256345394441, 'PAGE': 0.0660745439962271, 'PETER': 0.10114514006288694, 'GREGORY': 0.05163393876752864, 'LADY MONTAGUE': 0.05163393876752864, 'BENVOLIO': 0.28371707248771605}"
